DRUG_ID,DRUG_NAME,ADR_ID,ADR_TERM,PubChem_ID
BADD_D00014,Abiraterone,BADD_A00084,Acute pulmonary oedema,132971
BADD_D00115,Amiodarone,BADD_A00084,Acute pulmonary oedema,2157
BADD_D00121,Amlodipine,BADD_A00084,Acute pulmonary oedema,2162
BADD_D00130,Amphetamine,BADD_A00084,Acute pulmonary oedema,3007
BADD_D00194,Azacitidine,BADD_A00084,Acute pulmonary oedema,9444
BADD_D00277,Bisoprolol,BADD_A00084,Acute pulmonary oedema,2405
BADD_D00284,Bortezomib,BADD_A00084,Acute pulmonary oedema,387447
BADD_D00285,Bosentan,BADD_A00084,Acute pulmonary oedema,104865
BADD_D00286,Bosutinib,BADD_A00084,Acute pulmonary oedema,5328940
BADD_D00287,Bosutinib monohydrate,BADD_A00084,Acute pulmonary oedema,11990828
BADD_D00347,Candesartan cilexetil,BADD_A00084,Acute pulmonary oedema,2540
BADD_D00356,Carbamazepine,BADD_A00084,Acute pulmonary oedema,2554
BADD_D00364,Carboplatin,BADD_A00084,Acute pulmonary oedema,426756
BADD_D00367,Carfilzomib,BADD_A00084,Acute pulmonary oedema,11556711
BADD_D00474,Cisplatin,BADD_A00084,Acute pulmonary oedema,5702198
BADD_D00504,Clopidogrel,BADD_A00084,Acute pulmonary oedema,60606
BADD_D00551,Cyclosporine,BADD_A00084,Acute pulmonary oedema,5280754
BADD_D00563,Dabigatran,BADD_A00084,Acute pulmonary oedema,216210
BADD_D00589,Dasatinib,BADD_A00084,Acute pulmonary oedema,3062316
BADD_D00623,Dexamethasone,BADD_A00084,Acute pulmonary oedema,5743
BADD_D00653,Diclofenac,BADD_A00084,Acute pulmonary oedema,3033
BADD_D00697,Dobutamine,BADD_A00084,Acute pulmonary oedema,36811
BADD_D00699,Docetaxel,BADD_A00084,Acute pulmonary oedema,148124
BADD_D00723,Doxorubicin,BADD_A00084,Acute pulmonary oedema,31703
BADD_D00782,Epinephrine,BADD_A00084,Acute pulmonary oedema,5816
BADD_D00858,Everolimus,BADD_A00084,Acute pulmonary oedema,6442177
BADD_D00931,Fluorouracil,BADD_A00084,Acute pulmonary oedema,3385
BADD_D00979,Furosemide,BADD_A00084,Acute pulmonary oedema,3440
BADD_D00983,Gadobenate dimeglumine,BADD_A00084,Acute pulmonary oedema,105125
BADD_D00984,Gadobutrol,BADD_A00084,Acute pulmonary oedema,189914
BADD_D01009,Gemcitabine,BADD_A00084,Acute pulmonary oedema,60750
BADD_D01083,Hydrochlorothiazide,BADD_A00084,Acute pulmonary oedema,3639
BADD_D01119,Ibrutinib,BADD_A00084,Acute pulmonary oedema,24821094
BADD_D01178,Iodixanol,BADD_A00084,Acute pulmonary oedema,3724
BADD_D01180,Iohexol,BADD_A00084,Acute pulmonary oedema,3730
BADD_D01182,Iopromide,BADD_A00084,Acute pulmonary oedema,3736
BADD_D01186,Ioversol,BADD_A00084,Acute pulmonary oedema,3741
BADD_D01194,Irbesartan,BADD_A00084,Acute pulmonary oedema,3749
BADD_D01222,Ixabepilone,BADD_A00084,Acute pulmonary oedema,6445540
BADD_D01242,Lamivudine,BADD_A00084,Acute pulmonary oedema,60825
BADD_D01260,Leuprolide acetate,BADD_A00084,Acute pulmonary oedema,657180
BADD_D01285,Levothyroxine,BADD_A00084,Acute pulmonary oedema,5819
BADD_D01401,Metformin,BADD_A00084,Acute pulmonary oedema,4091
BADD_D01405,Methadone,BADD_A00084,Acute pulmonary oedema,4095
BADD_D01418,Methotrexate,BADD_A00084,Acute pulmonary oedema,126941
BADD_D01442,Metoclopramide,BADD_A00084,Acute pulmonary oedema,4168
BADD_D01449,Metronidazole,BADD_A00084,Acute pulmonary oedema,4173
BADD_D01473,Minoxidil,BADD_A00084,Acute pulmonary oedema,4201
BADD_D01477,Misoprostol,BADD_A00084,Acute pulmonary oedema,5282381
BADD_D01498,Morphine,BADD_A00084,Acute pulmonary oedema,5288826
BADD_D01525,Naloxone,BADD_A00084,Acute pulmonary oedema,5284596
BADD_D01541,Nebivolol,BADD_A00084,Acute pulmonary oedema,71301
BADD_D01542,Nebivolol hydrochloride,BADD_A00084,Acute pulmonary oedema,9933004
BADD_D01566,Nifedipine,BADD_A00084,Acute pulmonary oedema,4485
BADD_D01567,Nilotinib,BADD_A00084,Acute pulmonary oedema,644241
BADD_D01629,Osimertinib,BADD_A00084,Acute pulmonary oedema,71496458
BADD_D01633,Oxaliplatin,BADD_A00084,Acute pulmonary oedema,9887053
BADD_D01652,Oxytocin,BADD_A00084,Acute pulmonary oedema,439302
BADD_D01653,Paclitaxel,BADD_A00084,Acute pulmonary oedema,36314
BADD_D01676,Paricalcitol,BADD_A00084,Acute pulmonary oedema,5281104
BADD_D01687,Pazopanib,BADD_A00084,Acute pulmonary oedema,10113978
BADD_D01783,Pirfenidone,BADD_A00084,Acute pulmonary oedema,40632
BADD_D01834,Prednisone,BADD_A00084,Acute pulmonary oedema,5865
BADD_D01864,Propofol,BADD_A00084,Acute pulmonary oedema,4943
BADD_D01921,Regadenoson,BADD_A00084,Acute pulmonary oedema,219024
BADD_D01933,Ribavirin,BADD_A00084,Acute pulmonary oedema,37542
BADD_D02006,Selexipag,BADD_A00084,Acute pulmonary oedema,9913767
BADD_D02018,Sildenafil,BADD_A00084,Acute pulmonary oedema,135398744
BADD_D02026,Simvastatin,BADD_A00084,Acute pulmonary oedema,54454
