Drug_Name,Pattern
"Asbestos, Amosite",Pleural effusion
Asbestos,Pleural effusion
Docetaxel,Pleural effusion
Valproic Acid,Pleural effusion
Cyclophosphamide,Pleural effusion
Carrageenan,Pleural effusion
Tretinoin,Pleural effusion
Pertussis Toxin,Pleural effusion
Indomethacin,Pleural effusion
Ampicillin,Pleural effusion
Arsenic Trioxide,Pleural effusion
Sulfasalazine,Pleural effusion
Oxygen,Pleural effusion
Doxorubicin,Pleural effusion
Thalidomide,Pleural effusion
adefovir dipivoxil,Pleural effusion
Alkylating Agents,Pleural effusion
Clomiphene,Pleural effusion
FK 973,Pleural effusion
Minoxidil,Pleural effusion
Nitrofurantoin,Pleural effusion
VEP-THP protocol,Pleural effusion
bisphenol A,Pulmonary edema
Cadmium Chloride,Pulmonary edema
Particulate Matter,Pulmonary edema
Tobacco Smoke Pollution,Pulmonary edema
perfluorooctane sulfonic acid,Pulmonary edema
Alloxan,Pulmonary edema
Arsenic,Pulmonary edema
Cadmium,Pulmonary edema
Tretinoin,Pulmonary edema
Vehicle Emissions,Pulmonary edema
Silicon Dioxide,Pulmonary edema
Smoke,Pulmonary edema
Lipopolysaccharides,Pulmonary edema
Ethanol,Pulmonary edema
Doxorubicin,Pulmonary edema
Ozone,Pulmonary edema
Hydrochloric Acid,Pulmonary edema
Oleic Acid,Pulmonary edema
JP8 aviation fuel,Pulmonary edema
"Asbestos, Amphibole",Pulmonary edema
Chlorpyrifos,Pulmonary edema
Iohexol,Pulmonary edema
"plY protein, Streptococcus pneumoniae",Pulmonary edema
Pertussis Toxin,Pulmonary edema
Excitatory Amino Acid Agents,Pulmonary edema
Dinoprost,Pulmonary edema
Hydrogen Sulfide,Pulmonary edema
Aspirin,Pulmonary edema
polyhexamethyleneguanidine,Pulmonary edema
glyceryl 2-arachidonate,Pulmonary edema
"Asbestos, Amosite",Pulmonary edema
"3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol",Pulmonary edema
Silver Compounds,Pulmonary edema
Glycyrrhizic Acid,Pulmonary edema
alpha-naphthyl thiourea,Pulmonary edema
imidacloprid,Pulmonary edema
Methamphetamine,Pulmonary edema
riddelliine,Pulmonary edema
Nickel,Pulmonary edema
Heparin,Pulmonary edema
Phosgene,Pulmonary edema
sephadex,Pulmonary edema
Dronabinol,Pulmonary edema
allyl chloride,Pulmonary edema
Cyclophosphamide,Pulmonary edema
didecyldimethylammonium,Pulmonary edema
Arsenic Trioxide,Pulmonary edema
"lipopolysaccharide, Escherichia coli O111 B4",Pulmonary edema
Chlorine,Pulmonary edema
Oxygen,Pulmonary edema
aluminum phosphide,Pulmonary edema
Blood Glucose,Pulmonary edema
Amitriptyline,Pulmonary edema
Mitomycin,Pulmonary edema
Nicotine,Pulmonary edema
Lidocaine,Pulmonary edema
Mustard Gas,Pulmonary edema
Ketamine,Pulmonary edema
lanthanum chloride,Pulmonary edema
Sodium Fluoride,Pulmonary edema
Nitrofurantoin,Pulmonary edema
Amphetamine,Pulmonary edema
"lipopolysaccharide, E coli O55-B5",Pulmonary edema
Ephedrine,Pulmonary edema
Soman,Pulmonary edema
Heroin,Pulmonary edema
Disulfiram,Pulmonary edema
"Toxins, Biological",Pulmonary edema
Acrolein,Pulmonary edema
Mechlorethamine,Pulmonary edema
"13,14-dihydroprostaglandin E1",Pulmonary edema
Antineoplastic Agents,Pulmonary edema
Betamethasone,Pulmonary edema
Bupivacaine,Pulmonary edema
Buthus tamulus insect toxin,Pulmonary edema
Cnidarian Venoms,Pulmonary edema
Contrast Media,Pulmonary edema
Crack Cocaine,Pulmonary edema
Creatine,Pulmonary edema
cyclocreatine,Pulmonary edema
Diatrizoate,Pulmonary edema
Diatrizoate Meglumine,Pulmonary edema
dibenzothiophene,Pulmonary edema
Ergotamines,Pulmonary edema
Fenfluramine,Pulmonary edema
Fibrinolytic Agents,Pulmonary edema
heparin-dihydergot,Pulmonary edema
Hydrofluoric Acid,Pulmonary edema
Iprindole,Pulmonary edema
Methoxamine,Pulmonary edema
Methylergonovine,Pulmonary edema
Moricizine,Pulmonary edema
Naphazoline,Pulmonary edema
Nitric Acid,Pulmonary edema
Nordefrin,Pulmonary edema
N-(phosphonomethyl)glycine trimethylsulfonium salt,Pulmonary edema
octamethylcyclotetrasiloxane,Pulmonary edema
Safflower Oil,Pulmonary edema
"S-(N,N-diethylaminoethyl) isobutyl methylphosphothiolate",Pulmonary edema
Thiourea,Pulmonary edema
Timolol,Pulmonary edema
troclosene,Pulmonary edema
Nitric Oxide,Pulmonary edema
Mannitol,Pulmonary edema
Thalidomide,Pulmonary edema
Terbutaline,Pulmonary edema
Chlorpheniramine,Pulmonary edema
Raloxifene Hydrochloride,Pulmonary embolism
Malondialdehyde,Pulmonary embolism
Particulate Matter,Pulmonary embolism
