Drug_Name,PubChem_ID
5-alpha reductase inhibitors,NOT_FOUND
"Abused drugs/substances (illicit-, street drugs - IV/inhaled)",NOT_FOUND
Acebrophylline,176595
Acenocoumarol,54676537
Acepromazine,6077
Acetanilide,904
Acetylcysteine (N-acetylcysteine),NOT_FOUND
Acetylfentanyl,527015
Aconite,NOT_FOUND
Aconitine,245005
Acrylfentanyl,10314851
Acupuncture,NOT_FOUND
Adagrasib,138611145
Adenosine 5'-triphosphate,5957
Adrenaline (epinephrine),NOT_FOUND
Adrenocorticotropic hormone (ACTH),NOT_FOUND
"Adulterants, contaminants, cutting agents",NOT_FOUND
Afloqualone,2040
Ajmaline,6100671
Albuferon (albinterferon),NOT_FOUND
Albumin,NOT_FOUND
Albuterol (see under salbutamol),NOT_FOUND
Alcohol - Ethanol,NOT_FOUND
Alendronate - Alendronic acid,NOT_FOUND
Alginate,91666324
Alglucerase,NOT_FOUND
Alk inhibitors,NOT_FOUND
Alkylating agents,NOT_FOUND
All-transretinoic acid (ATRA),NOT_FOUND
Allergen immunotherapy,NOT_FOUND
"Allergen immunotherapy, sublingual",NOT_FOUND
Almitrine,33887
Almond - Bitter almond,NOT_FOUND
Almonertinib,121280087
Alpha-1 antitrypsin,NOT_FOUND
Alprenolol,2119
Alteplase (rTPA),NOT_FOUND
Aluminum phosphide,16126812
Amatuximab,NOT_FOUND
"Amikacin (inhaled-, liposomal-)",NOT_FOUND
Amino(5)-2-(trifluoromethyl)pyridine,NOT_FOUND
Aminoglycoside antibiotics,NOT_FOUND
Aminopyridine,10439
Aminorex,16630
"Amiodarone, i.v.",NOT_FOUND
Amitraz,36324
Amitriptylline overdose,NOT_FOUND
Amivantanab,NOT_FOUND
Amizepine,158856
Amlodipine poisoning,NOT_FOUND
"Ammonia, anhydrous",222
Amphetamine (and -derivatives),NOT_FOUND
Amphotericin B (infusion),NOT_FOUND
Amrinone - Inamrinone,NOT_FOUND
Amrubicin,3035016
"Amyl-nitrite, butyl-nitrite, isobutyl-nitrite ('Poppers')",NOT_FOUND
Anabolic androgenic steroids,NOT_FOUND
Androgen deprivation therapy (Antiandrogens),NOT_FOUND
"Anesthetic agents (local, topical)",NOT_FOUND
Angiotensin II receptor blockers (ARB) - Sartans,NOT_FOUND
Angiotensin converting enzyme inhibitors (ACEI),NOT_FOUND
Aniline - Aminophenols,NOT_FOUND
"Aniline, p-chloro-",7812
Animal fat (aspirated in children),NOT_FOUND
Anorexigens - Anorectic agents - Appetite suppressants,NOT_FOUND
Antazoline,2200
Anthracyclines,NOT_FOUND
Anthrax vaccination,NOT_FOUND
Anti-CD20 antibody therapy,NOT_FOUND
Anti-TNF drugs/agents,NOT_FOUND
Anti-angiogenesis/-angiogenic agents,NOT_FOUND
Antibiotics,46874763
