SMILES,Drug_Name
[OH-].[OH-].[O-][Si]([O-])([O-])O[Si](=O)O[Si]([O-])([O-])O[Si](=O)O[Si]([O-])([O-])O[Si]([O-])([O-])O[Si](=O)O[Si]([O-])([O-])[O-].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2],"Asbestos, Amosite"
,Asbestos
CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,Docetaxel
CCCC(CCC)C(=O)O,Valproic Acid
C1CNP(=O)(OC1)N(CCCl)CCCl,Cyclophosphamide
,Carrageenan
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,Tretinoin
CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC1=CC=CC=C1)C(=O)N2CCCC2C(=O)NC(CCCNC(=N)N)C(=O)N3CCCC3C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C)C(=O)NC(CC4=CC=C(C=C4)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC5=CC=CC=C5)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(C(C)CC)C(=O)NC(CC6=CC=CC=C6)C(=O)NCC(=O)NC(CC7=CC=CC=C7)C(=O)N8CCCC8C(=O)NC(CCCCN)C(=O)NC(CC9=CN=CN9)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)O)NC(=O)CNC(=O)C(C(C)CC)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(=O)N)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(C(C)CC)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C(CCC(=O)N)NC(=O)C(CCSC)N,Pertussis Toxin
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Indomethacin
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,Ampicillin
[O-2].[O-2].[O-2].[As+3].[As+3],Arsenic Trioxide
C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,Sulfasalazine
O=O,Oxygen
