Drug_Name,SMILES
"Asbestos, Amosite",[OH-].[OH-].[O-][Si]([O-])([O-])O[Si](=O)O[Si]([O-])([O-])O[Si](=O)O[Si]([O-])([O-])O[Si]([O-])([O-])O[Si](=O)O[Si]([O-])([O-])[O-].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2].[Fe+2]
Asbestos,
Docetaxel,
Valproic Acid,CCCC(CCC)C(=O)O
Cyclophosphamide,
Carrageenan,
Tretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
Pertussis Toxin,
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
Ampicillin,
Arsenic Trioxide,
Sulfasalazine,
Oxygen,
Doxorubicin,
Thalidomide,
adefovir dipivoxil,
Alkylating Agents,
Clomiphene,
FK 973,
Minoxidil,
Nitrofurantoin,
VEP-THP protocol,
bisphenol A,
Cadmium Chloride,
Particulate Matter,
Tobacco Smoke Pollution,
perfluorooctane sulfonic acid,
Alloxan,
Arsenic,
Cadmium,
Vehicle Emissions,
Silicon Dioxide,
Smoke,
Lipopolysaccharides,
Ethanol,
Ozone,
Hydrochloric Acid,
Oleic Acid,
JP8 aviation fuel,
"Asbestos, Amphibole",
Chlorpyrifos,
Iohexol,
"plY protein, Streptococcus pneumoniae",
Excitatory Amino Acid Agents,
Dinoprost,
Hydrogen Sulfide,
Aspirin,
polyhexamethyleneguanidine,
glyceryl 2-arachidonate,
"3-(2-hydroxy-4-(1,1-dimethylheptyl)phenyl)-4-(3-hydroxypropyl)cyclohexanol",
Silver Compounds,
Glycyrrhizic Acid,
alpha-naphthyl thiourea,
imidacloprid,
Methamphetamine,
riddelliine,
Nickel,
Heparin,
Phosgene,
sephadex,
Dronabinol,
allyl chloride,C=CCCl
didecyldimethylammonium,
"lipopolysaccharide, Escherichia coli O111 B4",
Chlorine,
aluminum phosphide,
Blood Glucose,
Amitriptyline,
Mitomycin,
Nicotine,
Lidocaine,
Mustard Gas,
Ketamine,
lanthanum chloride,
Sodium Fluoride,
Amphetamine,
"lipopolysaccharide, E coli O55-B5",
Ephedrine,
Soman,
Heroin,
Disulfiram,
"Toxins, Biological",
Acrolein,
Mechlorethamine,
"13,14-dihydroprostaglandin E1",
Antineoplastic Agents,
Betamethasone,
Bupivacaine,
Buthus tamulus insect toxin,
Cnidarian Venoms,
Contrast Media,
Crack Cocaine,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC
Creatine,CN(CC(=O)O)C(=N)N
cyclocreatine,C1CN(C(=N1)N)CC(=O)O
Diatrizoate,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
Diatrizoate Meglumine,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I.CNCC(C(C(C(CO)O)O)O)O
dibenzothiophene,C1=CC=C2C(=C1)C3=CC=CC=C3S2
Ergotamines,
Fenfluramine,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
Fibrinolytic Agents,
heparin-dihydergot,
Hydrofluoric Acid,F
Iprindole,CN(C)CCCN1C2=C(CCCCCC2)C3=CC=CC=C31
Methoxamine,CC(C(C1=C(C=CC(=C1)OC)OC)O)N
Methylergonovine,CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
Moricizine,CCOC(=O)NC1=CC2=C(C=C1)SC3=CC=CC=C3N2C(=O)CCN4CCOCC4
Naphazoline,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32
Nitric Acid,[N+](=O)(O)[O-]
