smiles,index
CC(C)c1cc(C2CCCN2C(=O)CN(C)Cc2cccnc2)no1,1
CCC(NC(=O)c1ccc(CSc2ccccc2)cc1)c1ccc(C)cc1C,2
Cc1ccc(C(C)NC(=O)c2ccc(CSc3ccc(Cl)cc3)cc2)cc1C,3
NC(=S)C1CC1S(=O)(=O)c1ccc(Cl)cc1,4
CCC(NC(=O)c1ccc(CSc2ccc(Cl)cc2)cc1)c1ccc(C)c(C)c1,5
COc1ccc(N2CC34C=CC(O3)C(C(=O)O)C4C2=O)cc1,6
CS(=O)(=O)C1C(C#N)C1c1ccccc1,7
COc1ccc2c(c1)CCCC2(O)CNC(=O)C(=O)NCc1ccc2c(c1)OCO2,8
CS(=O)(=O)C1C(c2ccccc2)C1(CN)C(=O)O,9
COC(=O)CC(c1ccc(OCCc2ccc(OC)cc2)c(OC)c1)c1oc(CN2CC3CC(C2)c2cccc(=O)n2C3)cc(=O)c1O,10
COc1ccc2c(c1)CCCC2(O)CNC(=O)Nc1ccccc1C(F)(F)F,11
COC(=O)CC(c1c(O)cc(C)n(CCc2ccc(O)cc2)c1=O)c1ccnc2ccccc12,12
CCS(=O)(=O)C1C(C#N)C1c1ccccc1,13
CC(=O)c1c2c(c3oc(=O)cc(C)c3c1O)C(c1ccc(OCC(C)C)cc1)CC(=O)O2,14
Cc1cc2c(c(=O)o1)C(c1coc3ccc(Cl)cc3c1=O)CC(=O)O2,15
COc1ccc(CCCNC(=O)CSCc2cccc(Cl)c2)cc1,16
COc1ccc(-c2noc(CNC(=O)CSCc3cccc(Cl)c3)n2)cc1,17
COc1ccccc1CCCNC(=O)CSCc1ccc(Cl)cc1,18
O=CC1C(c2ccccc2)C1S(=O)(=O)c1ccccc1,19
CCOC(=O)C1(N)C(c2ccccc2)C1S(=O)(=O)c1ccc(C)cc1,20
Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(CN)CN)cc1,21
CN(C)S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CSCc1ccc([N+](=O)[O-])cc1,22
COC(=O)CC(c1ccc(C(C)C)cc1)c1oc(CN2CC3CC(C2)c2cccc(=O)n2C3)cc(=O)c1O,23
Cc1nn(CCC(=O)NCC2CCCN(c3ccccn3)C2)c(C)c1C,24
Cc1ccccc1OCC(C)NC(=O)CSCc1ccc([N+](=O)[O-])cc1,25
CC1CCN(c2ccc(C(C)NC(=O)CSCc3ccc([N+](=O)[O-])cc3)cc2)CC1,26
COc1cccc(C=C2Oc3c(ccc4c3C(c3cccc(OC)c3OCCc3ccc5c(c3)CCO5)CC(=O)O4)C2=O)c1OC,27
Cc1cc2c(c(=O)o1)C(c1cc3ccccc3n(CC(C)C)c1=O)CC(=O)O2,28
COCC1(N)C(c2ccccc2)C1S(=O)(=O)c1ccc(C)cc1,29
COc1cc2c(c(OC)c1OC)-c1ccc(NCC(=O)Nc3c(C)nn(C)c3C)c(=O)cc1C(NC(C)=O)CC2,30
O=C1CC(c2ccc(O)cc2)c2c(ccc3c2OC2(CCCCC2)CC3=O)O1,31
Cc1ccc(S(=O)(=O)C2C(C(N)=S)C2c2ccccc2)cc1,32
COc1ccc(C=C2Oc3c(ccc4c3C(c3cccc(OCCc5ccc6c(c5)CCO6)c3)CC(=O)O4)C2=O)cc1,33
CN(Cc1nc(-c2cccs2)no1)C(=O)CSCc1ccc([N+](=O)[O-])cc1,34
COc1ccc(C2CC(=O)Oc3cc(C)oc(=O)c32)c(OC)c1OC,35
COCC1(C#N)C(c2ccccc2)C1S(=O)(=O)c1ccc(Cl)cc1,36
N#CC1C(c2ccccc2)C1S(=O)(=O)c1ccc(Cl)cc1,37
CCOC(=O)C1(CN)C(c2ccccc2)C1S(=O)(=O)c1ccc(Cl)cc1,38
NCC1(CO)C(c2ccccc2)C1S(=O)(=O)c1ccc(Cl)cc1,39
NCC1(N)C(c2ccccc2)C1S(=O)(=O)c1ccc(Cl)cc1,40
CC(C)(C)OC(=O)NC1(CN)C(c2ccccc2)C1S(=O)(=O)c1ccc(Cl)cc1,41
COc1ccc2c(c1)OC(C)(C)CC2NC(=O)C(C)Sc1ccccc1,42
COC(=O)CC(c1cccnc1)c1c(O)[nH]cc(C(=O)OC)c1=O,43
CC(Cc1cnccn1)N(C)C(=O)c1noc2c1CCCC2,44
CCC(NC(=O)C(C)Sc1ccccc1)c1ccc(C)c(C)c1,45
CCC(NC(=O)C(C)Sc1ccccc1)c1ccc(C)cc1C,46
O=S(=O)(c1ccc(Cl)cc1)C1C(CO)C1c1ccccc1,47
O=C(NC1CC(=O)N(Cc2ccccc2)C1)c1cc2c([nH]c1=O)CCC2,48
O=C(NCC1CC2C=CC1C2)C1CCCN(c2ncccn2)C1,49
CC(C)(C)OC(=O)NC1(C=O)C(c2ccccc2)C1S(=O)(=O)c1ccc(Cl)cc1,50
COc1ccc(C2CC(=O)Oc3ccc4c(c32)OC(=Cc2cc(OC)c(OC)cc2OC)C4=O)cc1,51
NC(=S)C1C(c2ccccc2)C1S(=O)(=O)c1ccc(Cl)cc1,52
Cc1ccc(C)c(C(C)NC(=O)C(C)SCc2ccccc2)c1,53
COc1cncc(C(NC(=O)CCc2cc(=O)[nH]o2)C2CC(O)C2)c1,54
CC(=O)c1c2c(c3oc(=O)cc(C)c3c1O)C(c1cc(F)c(F)c(F)c1)CC(=O)O2,55
CCOC(=O)C1(C#N)C(c2ccc(OC)cc2)C1S(C)(=O)=O,56
C=C(C)COc1c(OC)cccc1C1CC(=O)Oc2ccc3c(c21)OC(=Cc1cccc(OC)c1OC)C3=O,57
