Drug_Name,Pattern,PubChem_ID,Source,norm,SMILES,Label_ILD,Label_Edema,Label_Pleural,Label_Embolism
Abacavir,"I.a
                
I - Interstitial/parenchymal lung disease

                    I.a - Pneumonitis (ILD), acute and/or severe (may cause ARDS)                


                  I.f
                
I - Interstitial/parenchymal lung disease

                    I.f - Acute fibrinous organizing pneumonia (AFOP)                


                  II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  II.b
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.b - ARDS - Acute lung injury                


                  IV.d
                
IV - Airway involvement

                    IV.d - Cough (lone)                


                  X.a
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.a - DRES syndrome - DRESS-like reaction                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)                


                  XV.d
                
XV - Pathology

                    XV.d - Path: Acute fibrinous organizing pneumonia (AFOP-pattern) (see also If)",441300.0,Both,abacavir,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,1,1,0,0
Abemaciclib,"I.a
                
I - Interstitial/parenchymal lung disease

                    I.a - Pneumonitis (ILD), acute and/or severe (may cause ARDS)                


                  I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  I.c
                
I - Interstitial/parenchymal lung disease

                    I.c - Eosinophilic pneumonia (pulmonary infiltrates and eosinophilia)                


                  II.b
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.b - ARDS - Acute lung injury                


                  XV.a
                
XV - Pathology

                    XV.a - Path: NSIP-cellular pattern (see also Ia, Ib)",46220502.0,Both,abemaciclib,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,1,1,0,0
Abiraterone,"I.a
                
I - Interstitial/parenchymal lung disease

                    I.a - Pneumonitis (ILD), acute and/or severe (may cause ARDS)                


                  I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  II.d
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.d - Pulmonary edema, cardiogenic                


                  X.r
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.r - Fluid retention                


                  XII.a
                
XII - Cardiovascular involvement / toxicity

                    XII.a - Left or biventricular dysfunction/failure                


                  XII.ai
                
XII - Cardiovascular involvement / toxicity

                    XII.ai - Cardiotoxicity",132971.0,Both,abiraterone,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,1,1,0,0
Acebutolol,"I.b
                
I - Interstitial/parenchymal lung disease

                    I.b - Pneumonitis (ILD)                


                  I.d
                
I - Interstitial/parenchymal lung disease

                    I.d - Organizing pneumonia pattern (an area or areas of consolidation on imaging)                


                  IV.a
                
IV - Airway involvement

                    IV.a - Bronchospasm - Wheezing - Asthma                


                  IV.f
                
IV - Airway involvement

                    IV.f - Severe or catastrophic bronchospasm or asthma attack (can be fatal)                


                  V.a
                
V - Pleural and/or pericardial involvement

                    V.a - Pleural effusion (uni- or bilateral) (can accompany DI-LDs)                


                  V.c
                
V - Pleural and/or pericardial involvement

                    V.c - Pleural thickening - Fibrothorax                


                  V.d
                
V - Pleural and/or pericardial involvement

                    V.d - Pleural/pericardial effusion, ANA positive (DI lupus)                


                  X.y
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.y - Subclinical ANA positivity",1978.0,Both,acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,1,0,1,0
Acenocoumarol,"V.e
                
V - Pleural and/or pericardial involvement

                    V.e - Hemothorax - Serosanguineous pleural effusion                


                  VII.g
                
VII - Mediastinal involvement

                    VII.g - Hemomediastinum - Mediastinal hematoma                


                  VIII.b
                
VIII - Central-large-upper airway (incl. pharyngeal-nasal) involvement

                    VIII.b - Hematoma of/around central airway wall potentially causing UAO",54676537.0,Pneumotox_only,acenocoumarol,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,0,0,1,0
Acepromazine,"IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)",6077.0,Pneumotox_only,acepromazine,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,0,0,0,0
Acetanilide,"XIV.a
                
XIV - Hemoglobinopathies - Abnormal hemoglobin states (acquired)

                    XIV.a - Methemoglobinemia                


                  XIV.b
                
XIV - Hemoglobinopathies - Abnormal hemoglobin states (acquired)

                    XIV.b - Sulfhemoglobinemia",904.0,Pneumotox_only,acetanilide,CC(=O)Nc1ccccc1,0,0,0,0
Acetazolamide,"II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  IX.a
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.a - Diaphragm/inspiratory muscle weakness/paralysis (w/wo ARF)                


                  X.f
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.f - Anaphylaxis-Anaphylactoid reaction (can be fatal)                


                  XI.d
                
XI - Miscellaneous

                    XI.d - Metabolic acidosis (incl. lactic acidosis/-gap). May cause hyperpnea/dyspnea                


                  XII.n
                
XII - Cardiovascular involvement / toxicity

                    XII.n - Cardiovascular collapse - Cardiogenic shock - Hypotension                


                  XXI.a
                
XXI - Rechallenge data

                    XXI.a - Rechallenge can lead to near-fatal or fatal relapse of AE/ILD                


                  XXI.b
                
XXI - Rechallenge data

                    XXI.b - Rechallenge can lead to relapse of AE/ILD",1986.0,Both,acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,0,1,0,0
Acetylfentanyl,"II.a
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.a - Pulmonary edema, noncardiogenic (NCPE)                


                  IX.d
                
IX - Neuromuscular / CNS involvement - Disordered breathing (during sleep)

                    IX.d - Respiratory failure from ventilatory depression (due to neuromuscular blockade/paralysis)                


                  XI.r
                
XI - Miscellaneous

                    XI.r - Death following exposure or poisoning",527015.0,Pneumotox_only,acetylfentanyl,CC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0,1,0,0
Acitretin,"II.b
                
II - Pulmonary edema - Acute lung injury - ARDS

                    II.b - ARDS - Acute lung injury                


                  X.c
                
X - Systemic/Distant conditions, syndromes and reactions

                    X.c - Capillary leak syndrome (CLS)",5284513.0,Both,acitretin,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,0,1,0,0
