Drug_Name,SMILES,PubChem_ID,CID,CID_Source,score,status,PUG_View,Assay_Summary
Acepromazine,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,6077.0,6077.0,PubChem_ID,2,ok,2,0
Acetanilide,CC(=O)Nc1ccccc1,904.0,904.0,PubChem_ID,74,ok,74,0
Aconitine,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,245005.0,245005.0,PubChem_ID,13,ok,13,0
Acrylfentanyl,C=CC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,10314851.0,10314851.0,PubChem_ID,0,ok,0,0
Adenosine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,60961.0,60961.0,PubChem_ID,113,ok,113,0
Adenosine 5'-triphosphate,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,5957.0,5957.0,PubChem_ID,9,ok,9,0
Afloqualone,Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O,2040.0,2040.0,PubChem_ID,1,ok,1,0
Ajmaline,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,6100671.0,6100671.0,PubChem_ID,0,ok,0,0
Alginate,O=C(O)C1OC(O)C(O)C(O)C1O,91666324.0,91666324.0,PubChem_ID,0,ok,0,0
Aliskiren,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,5493444.0,5493444.0,PubChem_ID,91,ok,91,0
Almitrine,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,33887.0,33887.0,PubChem_ID,0,ok,0,0
Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,2118.0,2118.0,PubChem_ID,149,ok,149,0
Alprenolol,C=CCc1ccccc1OCC(O)CNC(C)C,2119.0,2119.0,PubChem_ID,4,ok,4,0
Amifostine,NCCCNCCSP(=O)(O)O,2141.0,2141.0,PubChem_ID,87,ok,87,0
Amikacin,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,37768.0,37768.0,PubChem_ID,139,ok,139,0
Amitraz,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,36324.0,36324.0,PubChem_ID,2,ok,2,0
"Aniline, p-chloro-",Nc1ccc(Cl)cc1,7812.0,7812.0,PubChem_ID,189,ok,189,0
Articaine,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,32170.0,32170.0,PubChem_ID,1,ok,1,0
Bacitracin,CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1,10909430.0,10909430.0,PubChem_ID,130,ok,130,0
Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,2284.0,2284.0,PubChem_ID,48,ok,48,0
Benazepril,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,5362124.0,5362124.0,PubChem_ID,141,ok,141,0
Bendamustine,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,65628.0,65628.0,PubChem_ID,83,ok,83,0
Bentazone,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,2328.0,2328.0,PubChem_ID,190,ok,190,0
Benzalkonium chloride,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,3014024.0,3014024.0,PubChem_ID,155,ok,155,0
Benzonatate,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,7699.0,7699.0,PubChem_ID,40,ok,40,0
Benzonitrile,N#Cc1ccccc1,7505.0,7505.0,PubChem_ID,160,ok,160,0
Benzylbenzoate,O=C(OCc1ccccc1)c1ccccc1,2345.0,2345.0,PubChem_ID,183,ok,183,0
Betahistine,CNCCc1ccccn1,2366.0,2366.0,PubChem_ID,1,ok,1,0
