STITCH_ID,Drug_Name,SMILES,Respiratory_Patterns
CID100000159,prostacyclin,CC(C)c1cc(C2CCCN2C(=O)CN(C)Cc2cccnc2)no1,Pleural effusion; Pulmonary embolism; Pulmonary oedema
CID100000206,glucose,CCC(NC(=O)c1ccc(CSc2ccccc2)cc1)c1ccc(C)cc1C,Pulmonary embolism
CID100000444,bupropion,Cc1ccc(C(C)NC(=O)c2ccc(CSc3ccc(Cl)cc3)cc2)cc1C,Pulmonary embolism
CID100000450,estradiol,NC(=S)C1CC1S(=O)(=O)c1ccc(Cl)cc1,Pulmonary embolism
CID100000453,mannitol,CCC(NC(=O)c1ccc(CSc2ccc(Cl)cc2)cc1)c1ccc(C)c(C)c1,Pulmonary oedema
CID100000564,EACA,COc1ccc(N2CC34C=CC(O3)C(C(=O)O)C4C2=O)cc1,Pulmonary embolism
CID100000596,cytarabine,CS(=O)(=O)C1C(C#N)C1c1ccccc1,Interstitial pneumonia; Pulmonary oedema
CID100000698,estrone,COc1ccc2c(c1)CCCC2(O)CNC(=O)C(=O)NCc1ccc2c(c1)OCO2,Pulmonary embolism
CID100000699,Oestrogen,CS(=O)(=O)C1C(c2ccccc2)C1(CN)C(=O)O,Pulmonary embolism
CID100000700,monoethanolamine,COC(=O)CC(c1ccc(OCCc2ccc(OC)cc2)c(OC)c1)c1oc(CN2CC3CC(C2)c2cccc(=O)n2C3)cc(=O)c1O,Pleural effusion
CID100000772,LMWH,COc1ccc2c(c1)CCCC2(O)CNC(=O)Nc1ccccc1C(F)(F)F,Pulmonary oedema
CID100000838,epinephrine,COC(=O)CC(c1c(O)cc(C)n(CCc2ccc(O)cc2)c1=O)c1ccnc2ccccc12,Pulmonary oedema
CID100001065,quinidine,CCS(=O)(=O)C1C(C#N)C1c1ccccc1,Pulmonary oedema
CID100001130,thiamine,CC(=O)c1c2c(c3oc(=O)cc(C)c3c1O)C(c1ccc(OCC(C)C)cc1)CC(=O)O2,Pulmonary oedema
CID100001301,naproxen,Cc1cc2c(c(=O)o1)C(c1coc3ccc(Cl)cc3c1=O)CC(=O)O2,Pulmonary oedema
CID100001546,cladribine,COc1ccc(CCCNC(=O)CSCc2cccc(Cl)c2)cc1,Pulmonary embolism
CID100001690,doxorubicin,COc1ccc(-c2noc(CNC(=O)CSCc3cccc(Cl)c3)n2)cc1,Pleural effusion; Pulmonary embolism; Pulmonary oedema
CID100001775,phenytoin,COc1ccccc1CCCNC(=O)CSCc1ccc(Cl)cc1,Pulmonary embolism
CID100001805,5-azacytidine,O=CC1C(c2ccccc2)C1S(=O)(=O)c1ccccc1,Pleural effusion
CID100001972,amphotericin,CCOC(=O)C1(N)C(c2ccccc2)C1S(=O)(=O)c1ccc(C)cc1,Pleural effusion; Pulmonary oedema
CID100001983,acetaminophen,Cc1ccc(S(=O)(=O)C2C(c3ccccc3)C2(CN)CN)cc1,Pleural effusion; Pulmonary oedema
