smiles,Drug_Name,norm,PubChem_ID
CC(=O)CC(c1ccccc1)c1c([O-])oc2ccccc2c1=O,4-oxo-3-(3-oxo-1-phenylbutyl)chromen-2-olate,4-oxo-3-(3-oxo-1-phenylbutyl)chromen-2-olate,23690541
CC1Oc2ccc(C(C)(C)C)cc2O1,"5-tert-butyl-2-methyl-1,3-benzodioxole","5-tert-butyl-2-methyl-1,3-benzodioxole",135113
CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)N(C)C(Cc1ccc(O)cc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(N)=O,Abarelix,abarelix,16131215
CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,Acalabrutinib,acalabrutinib,71226662
CC(=O)NCCCS(=O)(=O)O,Acamprosate,acamprosate,71158
CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,Acarbose,acarbose,444254
CC(=O)Nc1ccc(O)cc1,Acetaminophen,acetaminophen,1983
CC(O)=NO,Acetohydroxamic acid,acetohydroxamic acid,1990
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,Acetyl sulfisoxazole,acetyl sulfisoxazole,6662
CC(=O)OCC[N+](C)(C)C,Acetylcholine chloride,acetylcholine chloride,6060
CC(=O)NC(CS)C(=O)O,Acetylcysteine,acetylcysteine,12035
CC(=O)Oc1ccccc1C(=O)O,Acetylsalicylic acid,acetylsalicylic acid,2244
Cc1cnc(C(=O)O)c[n+]1[O-],Acipimox,acipimox,5310993
[C],Activated charcoal,activated charcoal,5462310
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,Adapalene,adapalene,60164
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,Adefovir dipivoxil,adefovir dipivoxil,60871
COc1ccc2cccc(CCNC(C)=O)c2c1,Agomelatine,agomelatine,82148
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,Albendazole,albendazole,2082
CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(N)Cc1c[nH]cn1)C(C)O)C(C)O)C(C)C)C(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CCCNC(=N)N)C(N)=O)C(C)C,Albiglutide,albiglutide,145994868
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,Albuterol,albuterol,2083
CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,Alcaftadine,alcaftadine,19371515
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O,Alfacalcidol,alfacalcidol,5282181
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,Alfentanil,alfentanil,51263
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,Alfuzosin,alfuzosin,2092
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,Almotriptan,almotriptan,123606
Cn1c(=O)cc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O,Alogliptin,alogliptin,11450633
Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,Alosetron,alosetron,2099
CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,Alprostadil,alprostadil,5280723
Cc1ccc(N(c2ccc(C)cc2)c2c3ccccc3c(N(c3ccc(C)cc3)c3ccc(C)cc3)c3ccccc23)cc1,Alteplase,alteplase,22976653
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,Ambenonium chloride,ambenonium chloride,8288
NCCCCCC(=O)O,Aminocaproic acid,aminocaproic acid,564
Nc1ccc(C(=O)NCC(=O)O)cc1,Aminohippuric acid,aminohippuric acid,2148
NCC(=O)CCC(=O)O,Aminolevulinic acid,aminolevulinic acid,137
Nc1ccc(C(=O)O)c(O)c1,Aminosalicylic acid,aminosalicylic acid,4649
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,Amisulpride,amisulpride,2159
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,Amlexanox,amlexanox,2161
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,Amobarbital,amobarbital,2164
CC(N)Cc1ccccc1,Amphetamine,amphetamine,3007
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,Amphotericin b,amphotericin b,14956
CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,Amprenavir,amprenavir,65016
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,Amsacrine,amsacrine,2179
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,Anileridine,anileridine,8944
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,Apomorphine,apomorphine,6005
Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,Apraclonidine,apraclonidine,2216
CCOc1cc(C(CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,Apremilast,apremilast,10151715
CC(OC1OCCN(Cc2n[nH]c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,Aprepitant,aprepitant,135413536
