smiles,Drug_Name,norm,PubChem_ID,is_perfect_dups,indexes
CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,"4r,6r-dorzolamide","4r,6r-dorzolamide",92087,False,"[2, 299]"
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,Alitretinoin,alitretinoin,449171,False,"[35, 989]"
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,Arformoterol,arformoterol,3083544,False,"[65, 419]"
NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,Argipressin,argipressin,644077,False,"[69, 1027]"
NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,Armodafinil,armodafinil,9690109,False,"[71, 674]"
Cc1c(C2(c3cc(Br)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(Br)c(O)c1Br,Bacillus calmette-guerin,bacillus calmette-guerin,6451,False,"[94, 141]"
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,Chlorphenamine,chlorphenamine,2725,False,"[194, 268]"
O=S(=O)(O)CCS,Coenzyme M,coenzyme m,598,False,"[218, 632]"
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,Desonide,desonide,5311066,False,"[262, 1029]"
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,Deutetrabenazine,deutetrabenazine,73437646,False,"[267, 938]"
CCOc1ccc(CC(CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])cc1.[Gd+3].[Na+].[Na+],Eovist,eovist,91754427,False,"[334, 445]"
OCC(O)C(O)C(O)C(O)CO,Fibrinogen,fibrinogen,90540,False,"[396, 893]"
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,Flunisolide,flunisolide,82153,False,"[401, 402]"
COCCNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-].[Gd+3],Gadoversetamide,gadoversetamide,444013,False,"[444, 733]"
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,Icosapent,icosapent,446284,False,"[503, 730]"
Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,Leucovorin,leucovorin,135403648,False,"[564, 577]"
CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CCC(N)=O)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(N)Cc1c[nH]cn1)C(C)O)C(C)O)C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(CO)C(=O)NCC(=O)NC(C)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(N)=O,Lixisenatide,lixisenatide,90472060,False,"[594, 614]"
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,Nitrofurantoin (monohydrate/macrocrystals),nitrofurantoin (/macrocrystals),6604200,False,"[711, 712]"
CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1,Sapropterin,sapropterin,135398654,False,"[875, 944]"
F[B-](F)(F)F.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[Cu+],Tetrakis(1-isocyano-2-methoxy-2-methyl-propane)-copper(i) tetrafluoroborate,tetrakis(1-isocyano-2-methoxy-2-methyl-propane)-copper(i) tetrafluoroborate,92043160,False,"[946, 947]"
NC(=O)C1CCCN1C(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1,Thyrotropin alfa,thyrotropin alfa,32281,False,"[959, 960]"
